rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
9,9,22,OLD,20227863,라이스보이 슬립스,2023-04-19,9531000,1.2,7941000,499.4,28567000,1059,953,899.1,2987,8,8,20230404
10,10,-1,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,7782223,1.0,1000005,14.7,1060156214,806,103,14.7,103072,93,114,20230404
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,398242654,49.6,-1800903059,-81.9,39588057148,39749,-178051,-81.7,3824480,1314,4748,20230403
2,2,0,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,118978807,14.8,-315468272,-72.6,1900707699,12089,-29471,-70.9,189943,956,2657,20230403
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,67573000,8.4,-172165668,-71.8,45209702616,6832,-15309,-69.1,4388155,524,1108,20230403
4,4,0,OLD,20210544,웅남이,2023-03-22,54206507,6.8,-110186293,-67,2494170290,5708,-11244,-66.3,271966,538,1275,20230403
5,5,0,NEW,20226489,리바운드,2023-04-05,23619000,2.9,23619000,100,136438000,2637,2637,100,15092,13,13,20230403
6,6,-1,OLD,20197654,소울메이트,2023-03-15,19018710,2.4,-48533004,-71.8,2164861170,2282,-4203,-64.8,222370,289,433,20230403
7,7,0,OLD,20230641,오토라는 남자,2023-03-29,16499537,2.1,-21785461,-56.9,230668692,1754,-2120,-54.7,24734,311,499,20230403
8,8,0,OLD,20230767,파벨만스,2023-03-22,13697145,1.7,-23990234,-63.7,606833272,1409,-2260,-61.6,59789,201,271,20230403
9,9,2,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,6782218,0.8,-9182725,-57.5,1052373991,703,-834,-54.3,102266,93,112,20230403
10,10,5,OLD,20227684,멍뭉이,2023-03-01,6779599,0.8,-253001,-3.6,1695705086,699,-15,-2.1,180418,12,14,20230403
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,2199145713,64.2,-578825720,-20.8,39189814494,217800,-60545,-21.8,3784731,1540,6101,20230402
2,2,0,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,434447079,12.7,-118570007,-21.4,1781728892,41560,-10973,-20.9,177854,1062,3446,20230402
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,239738668,7.0,-46354541,-16.2,45142129616,22141,-6835,-23.6,4381323,612,1299,20230402
4,4,0,OLD,20210544,웅남이,2023-03-22,164392800,4.8,-7214367,-4.2,2439963783,16952,-722,-4.1,266258,651,1695,20230402
5,5,0,OLD,20197654,소울메이트,2023-03-15,67551714,2.0,-29006598,-30,2145842460,6485,-2996,-31.6,220088,365,548,20230402
6,6,1,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,43869500,1.3,-2269300,-4.9,471035200,5038,25,0.5,53211,181,300,20230402
7,7,1,OLD,20230641,오토라는 남자,2023-03-29,38284998,1.1,-8698026,-18.5,214169155,3874,-895,-18.8,22980,342,582,20230402
8,8,1,OLD,20230767,파벨만스,2023-03-22,37687379,1.1,-8231571,-17.9,593136127,3669,-777,-17.5,58380,221,303,20230402
9,9,1,OLD,20173226,패왕별희 디 오리지널,2017-03-30,27358118,0.8,-18552354,-40.4,1134324280,2421,-1447,-37.4,121418,77,97,20230402
10,10,1,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,25087400,0.7,-2652900,-9.6,6569259100,2243,-315,-12.3,534370,117,167,20230402
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,2777971433,62.9,1903448137,217.7,36990668781,278345,193110,226.6,3566931,1530,6248,20230401
2,2,0,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,553017086,12.5,283636804,105.3,1347281813,52533,26457,101.5,136294,1075,3631,20230401
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,286093209,6.5,171310981,149.2,44902390948,28976,17923,162.2,4359182,615,1337,20230401
4,4,0,OLD,20210544,웅남이,2023-03-22,171607167,3.9,75461694,78.5,2275570983,17674,7062,66.5,249306,648,1753,20230401
5,5,0,OLD,20197654,소울메이트,2023-03-15,96558312,2.2,63280924,190.2,2078290746,9481,5957,169,213603,385,588,20230401
6,6,9,OLD,20230495,아임 히어로 더 파이널,2023-03-01,158061000,3.6,144863000,1097.6,5815856500,6437,5887,1070.4,240539,59,72,20230401
7,7,5,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,46138800,1.0,41286200,850.8,427165700,5013,4356,663,48173,185,312,20230401
8,8,-2,OLD,20230641,오토라는 남자,2023-03-29,46983024,1.1,14115052,42.9,175884157,4769,1265,36.1,19106,357,616,20230401
9,9,-2,OLD,20230767,파벨만스,2023-03-22,45918950,1.0,18788012,69.2,555448748,4446,1808,68.5,54711,219,295,20230401
10,10,69,OLD,20173226,패왕별희 디 오리지널,2017-03-30,45910472,1.0,45825472,53912.3,1106966162,3868,3857,35063.6,118997,79,103,20230401
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,874523296,54.5,416642389,91,34212697348,85235,39545,86.6,3288586,1302,4978,20230331
2,2,0,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,269380282,16.8,84863049,46,794264727,26076,7334,39.1,83761,1091,3576,20230331
3,3,2,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,114782228,7.2,46045718,67,44616297739,11053,4259,62.7,4330206,553,1149,20230331
4,4,-1,OLD,20210544,웅남이,2023-03-22,96145473,6.0,15456976,19.2,2103963816,10612,1158,12.2,231632,626,1729,20230331
5,5,3,OLD,20197654,소울메이트,2023-03-15,33277388,2.1,10233189,44.4,1981732434,3524,792,29,204122,348,572,20230331
6,6,1,OLD,20230641,오토라는 남자,2023-03-29,32867972,2.0,6133620,22.9,128901133,3504,586,20.1,14337,353,642,20230331
7,7,2,OLD,20230767,파벨만스,2023-03-22,27130938,1.7,10371108,61.9,509529798,2638,923,53.8,50265,217,298,20230331
8,8,3,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,16238295,1.0,5426230,50.2,1007796363,1606,501,45.3,97919,97,128,20230331
9,9,-5,OLD,20080269,해피 투게더,1998-08-22,17072643,1.1,-48235700,-73.9,436614106,1574,-5573,-78,47222,120,232,20230331
10,10,0,OLD,20227684,멍뭉이,2023-03-01,13875797,0.9,963000,7.5,1672858392,1538,185,13.7,178067,21,29,20230331
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,457880907,41.3,-201158744,-30.5,33338174052,45690,-37469,-45.1,3203351,1225,4458,20230330
2,2,0,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,184517233,16.7,-130230979,-41.4,524884445,18742,-18503,-49.7,57685,1067,3296,20230330
